epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.952,0.52385,2.80386,1.24526,0.4796,0.69023,0.57362,0.48798,0.60564,1.71341,1.1151,0.000331871,0.000331871,0.000331871
2,113.176,0.48457,1.86142,1.20644,0.52711,0.54244,0.59033,0.50639,0.60509,1.40895,1.11935,0.000599349,0.000599349,0.000599349
3,156.383,0.47063,1.41446,1.17494,0.43223,0.47963,0.47323,0.36784,0.92502,1.77324,1.64792,0.000800827,0.000800827,0.000800827
4,199.039,0.43286,1.18364,1.14314,0.6006,0.79134,0.74317,0.65761,0.51173,0.98139,0.98634,0.000703,0.000703,0.000703
5,241.977,0.39547,0.99479,1.11168,0.58352,0.73092,0.7209,0.66063,0.42699,1.07272,0.90103,0.000604,0.000604,0.000604
6,284.439,0.36517,0.86416,1.08951,0.67912,0.79229,0.79843,0.7314,0.43029,0.78976,0.90763,0.000505,0.000505,0.000505
7,327.041,0.32135,0.77152,1.04747,0.74321,0.75712,0.80647,0.75399,0.38067,0.76162,0.85687,0.000406,0.000406,0.000406
8,369.455,0.2895,0.66496,1.02657,0.77116,0.75392,0.813,0.76509,0.36142,0.7181,0.84972,0.000307,0.000307,0.000307
9,411.795,0.26496,0.58817,1.00489,0.7567,0.83505,0.8399,0.79212,0.34953,0.63825,0.84637,0.000208,0.000208,0.000208
10,454.256,0.2437,0.50399,0.99405,0.84147,0.83485,0.87843,0.83527,0.3247,0.56655,0.81398,0.000109,0.000109,0.000109
