epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3932,0.58638,2.2907,1.22781,0.6139,0.54958,0.59537,0.47691,0.70808,1.56173,1.29822,0.000331871,0.000331871,0.000331871
2,87.0112,0.59654,1.55287,1.20986,0.56459,0.62018,0.67833,0.5512,0.69272,1.60259,1.22661,0.000632277,0.000632277,0.000632277
3,129.932,0.61008,1.36127,1.21454,0.56733,0.59585,0.62589,0.47243,0.85626,1.72525,1.52681,0.000899683,0.000899683,0.000899683
4,173.358,0.61007,1.2118,1.20935,0.65312,0.68315,0.75297,0.62935,0.61589,1.0549,1.09743,0.0008515,0.0008515,0.0008515
5,215.333,0.5656,1.10009,1.18213,0.67854,0.75921,0.78162,0.67352,0.54565,0.89434,1.00096,0.000802,0.000802,0.000802
6,257.958,0.53106,0.997,1.16205,0.76509,0.78112,0.8341,0.72456,0.55369,0.85213,1.03768,0.0007525,0.0007525,0.0007525
7,301.911,0.50503,0.94648,1.14938,0.68634,0.77686,0.82234,0.7343,0.46948,0.87311,0.93405,0.000703,0.000703,0.000703
8,344.808,0.49776,0.89037,1.14105,0.82201,0.76407,0.85035,0.76094,0.47746,0.73857,0.9436,0.0006535,0.0006535,0.0006535
9,387.269,0.47517,0.84617,1.13246,0.75838,0.75856,0.84416,0.77952,0.42246,0.79639,0.91754,0.000604,0.000604,0.000604
10,429.757,0.47642,0.81379,1.12774,0.70875,0.79824,0.86214,0.7889,0.41924,0.79395,0.90796,0.0005545,0.0005545,0.0005545
11,497.354,0.34786,0.70587,1.075,0.82733,0.79187,0.86039,0.79306,0.38707,0.71243,0.87262,0.000505,0.000505,0.000505
12,538.935,0.30646,0.61507,1.03906,0.76167,0.79064,0.86013,0.7952,0.43169,0.72906,0.91072,0.0004555,0.0004555,0.0004555
13,580.338,0.28914,0.53556,1.0253,0.81995,0.81348,0.88358,0.82897,0.34866,0.59219,0.83103,0.000406,0.000406,0.000406
14,621.544,0.27024,0.48962,1.00627,0.88925,0.82329,0.90514,0.85038,0.35044,0.52724,0.83187,0.0003565,0.0003565,0.0003565
15,662.739,0.25908,0.44167,0.99377,0.80369,0.84541,0.89529,0.84906,0.33902,0.58951,0.8193,0.000307,0.000307,0.000307
16,704.143,0.25132,0.39659,0.98715,0.7885,0.89944,0.91329,0.86906,0.33725,0.54709,0.82439,0.0002575,0.0002575,0.0002575
17,745.381,0.23829,0.36654,0.97654,0.87193,0.84822,0.92872,0.88721,0.31649,0.55157,0.7994,0.000208,0.000208,0.000208
18,786.699,0.22618,0.33761,0.97084,0.87406,0.89464,0.9403,0.90034,0.30169,0.45822,0.78616,0.0001585,0.0001585,0.0001585
19,827.883,0.21551,0.30172,0.96793,0.89224,0.87297,0.93791,0.90281,0.29312,0.44438,0.77619,0.000109,0.000109,0.000109
20,872.39,0.20483,0.28873,0.94865,0.88028,0.91182,0.94128,0.90813,0.28843,0.42953,0.77148,5.95e-05,5.95e-05,5.95e-05
