epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4484,0.58638,2.2907,1.22781,0.6139,0.54958,0.59537,0.47691,0.70808,1.56173,1.29822,0.000331871,0.000331871,0.000331871
2,92.3493,0.6013,1.54697,1.2158,0.61861,0.66302,0.64638,0.51711,0.71331,1.35467,1.27023,0.000648741,0.000648741,0.000648741
3,136.226,0.61192,1.35149,1.2164,0.57378,0.63653,0.65668,0.53648,0.66735,1.25534,1.20688,0.00094911,0.00094911,0.00094911
4,178.962,0.62375,1.24522,1.22331,0.63619,0.72623,0.74758,0.61097,0.66012,1.03395,1.13962,0.00092575,0.00092575,0.00092575
5,220.81,0.58629,1.12538,1.19613,0.63296,0.71156,0.74829,0.64075,0.56332,1.01852,1.04739,0.000901,0.000901,0.000901
6,263.88,0.54697,1.0231,1.1708,0.7136,0.74142,0.81174,0.69068,0.54988,0.95865,1.03159,0.00087625,0.00087625,0.00087625
7,318.629,0.52241,0.97276,1.16041,0.63698,0.70336,0.77483,0.66289,0.566,1.08083,1.0439,0.0008515,0.0008515,0.0008515
8,371.394,0.5115,0.92721,1.15117,0.78438,0.76694,0.84783,0.76208,0.45827,0.77271,0.93304,0.00082675,0.00082675,0.00082675
9,423.7,0.49921,0.89284,1.14306,0.74409,0.77132,0.81109,0.73572,0.43615,0.73982,0.92394,0.000802,0.000802,0.000802
10,476.325,0.50605,0.8583,1.14465,0.75797,0.62688,0.78169,0.70621,0.45831,1.02095,0.94905,0.00077725,0.00077725,0.00077725
11,528.699,0.47745,0.79546,1.12082,0.77671,0.76087,0.83552,0.75169,0.46225,0.80037,0.94403,0.0007525,0.0007525,0.0007525
12,580.995,0.46325,0.76096,1.11427,0.8307,0.80817,0.88357,0.81495,0.38612,0.67108,0.86147,0.00072775,0.00072775,0.00072775
13,633.683,0.47161,0.7721,1.11675,0.76481,0.81667,0.88216,0.7981,0.44006,0.77347,0.93535,0.000703,0.000703,0.000703
14,685.923,0.46211,0.72755,1.11051,0.83314,0.76322,0.88174,0.81192,0.39105,0.6857,0.87563,0.00067825,0.00067825,0.00067825
15,738.562,0.44799,0.70886,1.10378,0.81854,0.81297,0.87395,0.80849,0.40892,0.67379,0.90583,0.0006535,0.0006535,0.0006535
16,790.906,0.4515,0.70244,1.10788,0.804,0.83008,0.89114,0.82485,0.39328,0.59039,0.86668,0.00062875,0.00062875,0.00062875
17,843.474,0.44126,0.67669,1.09853,0.77964,0.78015,0.85033,0.77392,0.42429,0.75202,0.9079,0.000604,0.000604,0.000604
18,895.765,0.43156,0.66933,1.09412,0.84676,0.78626,0.90372,0.83586,0.3866,0.63157,0.85552,0.00057925,0.00057925,0.00057925
19,947.992,0.43105,0.63678,1.09846,0.83449,0.81902,0.90528,0.84245,0.37758,0.5808,0.85508,0.0005545,0.0005545,0.0005545
20,1000.91,0.42405,0.63005,1.08631,0.74266,0.84754,0.87054,0.81414,0.37166,0.64747,0.85217,0.00052975,0.00052975,0.00052975
21,1051.73,0.41521,0.61287,1.08029,0.81696,0.87667,0.89928,0.85064,0.3485,0.53431,0.82226,0.000505,0.000505,0.000505
22,1094.6,0.41813,0.61068,1.08595,0.84761,0.87999,0.91487,0.85693,0.35531,0.49649,0.83448,0.00048025,0.00048025,0.00048025
23,1137.35,0.40253,0.56445,1.07297,0.82195,0.88913,0.90662,0.85029,0.35327,0.51755,0.82898,0.0004555,0.0004555,0.0004555
24,1179.83,0.3957,0.56692,1.07096,0.88339,0.84562,0.9082,0.85637,0.3468,0.52736,0.82443,0.00043075,0.00043075,0.00043075
25,1222.14,0.39119,0.54657,1.06078,0.86108,0.83722,0.90663,0.85569,0.35424,0.54077,0.83547,0.000406,0.000406,0.000406
26,1264.55,0.38553,0.53716,1.06951,0.79136,0.85769,0.89263,0.84354,0.33855,0.55313,0.82159,0.00038125,0.00038125,0.00038125
27,1307.13,0.38306,0.52235,1.06038,0.87277,0.88592,0.9203,0.87584,0.32695,0.48844,0.80452,0.0003565,0.0003565,0.0003565
28,1350.1,0.37914,0.5099,1.0601,0.89057,0.8529,0.92862,0.88366,0.31045,0.47746,0.79806,0.00033175,0.00033175,0.00033175
29,1392.49,0.37294,0.48277,1.05833,0.85653,0.89213,0.91895,0.87481,0.31404,0.46749,0.79129,0.000307,0.000307,0.000307
30,1434.85,0.37202,0.48581,1.05847,0.87585,0.8591,0.91887,0.8669,0.32199,0.48365,0.80686,0.00028225,0.00028225,0.00028225
31,1503.19,0.24346,0.34339,0.9839,0.87312,0.87373,0.92557,0.88219,0.30806,0.46331,0.79934,0.0002575,0.0002575,0.0002575
32,1545.39,0.23453,0.31542,0.97441,0.8435,0.87809,0.91633,0.86977,0.31483,0.47631,0.79118,0.00023275,0.00023275,0.00023275
33,1587.47,0.21886,0.28472,0.95766,0.90123,0.90393,0.93842,0.89839,0.3052,0.41441,0.801,0.000208,0.000208,0.000208
34,1629.83,0.21516,0.28852,0.96082,0.86192,0.90848,0.9343,0.8956,0.30448,0.43543,0.79047,0.00018325,0.00018325,0.00018325
35,1671.85,0.20706,0.25652,0.9533,0.92712,0.83766,0.93865,0.90032,0.29617,0.41984,0.77969,0.0001585,0.0001585,0.0001585
36,1714.2,0.1985,0.2458,0.94518,0.86468,0.88674,0.92965,0.89048,0.30245,0.4406,0.78995,0.00013375,0.00013375,0.00013375
37,1756.36,0.19704,0.22668,0.94318,0.87776,0.90377,0.93189,0.89681,0.28563,0.41601,0.78278,0.000109,0.000109,0.000109
38,1798.96,0.18725,0.21109,0.93988,0.8855,0.90755,0.93769,0.90256,0.28403,0.40319,0.77492,8.425e-05,8.425e-05,8.425e-05
39,1842.24,0.18201,0.19692,0.92744,0.88863,0.90986,0.94418,0.90895,0.27812,0.39838,0.77648,5.95e-05,5.95e-05,5.95e-05
40,1885.18,0.1836,0.19803,0.93326,0.91183,0.86438,0.94243,0.90794,0.2748,0.39663,0.76789,3.475e-05,3.475e-05,3.475e-05
