epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.9667,0.60712,2.02582,1.23395,0.5152,0.54488,0.55805,0.4077,0.83911,1.54307,1.30164,0.000331871,0.000331871,0.000331871
2,198.417,0.64454,1.26468,1.24103,0.38037,0.42249,0.38119,0.2643,0.94374,1.88706,1.48674,0.000638863,0.000638863,0.000638863
3,295.979,0.65516,1.24195,1.24047,0.71663,0.56622,0.66431,0.54005,0.73274,1.19903,1.31626,0.000919454,0.000919454,0.000919454
4,391.161,0.6488,1.17131,1.23476,0.59536,0.65727,0.70238,0.59348,0.59122,1.06636,1.10549,0.0008812,0.0008812,0.0008812
5,478.138,0.59568,1.07986,1.20614,0.66131,0.73779,0.75522,0.59816,0.70211,0.93881,1.1676,0.0008416,0.0008416,0.0008416
6,578.723,0.55269,0.98366,1.18023,0.72178,0.72742,0.79937,0.70837,0.52197,0.80499,1.0013,0.000802,0.000802,0.000802
7,676.29,0.52672,0.92936,1.16015,0.76636,0.77234,0.8226,0.73216,0.46277,0.72876,0.94167,0.0007624,0.0007624,0.0007624
8,773.12,0.50618,0.87291,1.15037,0.73444,0.64243,0.72067,0.58713,0.73931,1.00199,1.1739,0.0007228,0.0007228,0.0007228
9,876.882,0.49067,0.84754,1.1377,0.73609,0.78726,0.83544,0.75176,0.45239,0.75365,0.92887,0.0006832,0.0006832,0.0006832
10,973.99,0.4961,0.81723,1.14211,0.79615,0.75377,0.84631,0.76353,0.45252,0.72824,0.94838,0.0006436,0.0006436,0.0006436
11,1069.62,0.46723,0.76334,1.11847,0.8034,0.82811,0.8572,0.78522,0.39932,0.63678,0.87464,0.000604,0.000604,0.000604
12,1176.99,0.4494,0.69971,1.11017,0.84285,0.78112,0.88488,0.82187,0.36991,0.61013,0.8529,0.0005644,0.0005644,0.0005644
13,1272.19,0.45276,0.70338,1.11206,0.83362,0.81818,0.88789,0.83021,0.36594,0.60039,0.85178,0.0005248,0.0005248,0.0005248
14,1369.52,0.43925,0.66056,1.09948,0.85883,0.81718,0.88753,0.80503,0.3941,0.58076,0.87475,0.0004852,0.0004852,0.0004852
15,1473.78,0.41266,0.63118,1.08663,0.83743,0.81824,0.90148,0.84459,0.36313,0.56636,0.85594,0.0004456,0.0004456,0.0004456
16,1600.94,0.29877,0.51712,1.03812,0.86999,0.83792,0.90694,0.85885,0.36394,0.52212,0.85908,0.000406,0.000406,0.000406
17,1698.41,0.26933,0.45657,1.00288,0.81105,0.85789,0.89663,0.84865,0.33748,0.5358,0.83605,0.0003664,0.0003664,0.0003664
18,1801.86,0.26234,0.43296,0.99898,0.86642,0.79451,0.88644,0.838,0.33306,0.57248,0.81878,0.0003268,0.0003268,0.0003268
19,1897.89,0.24511,0.36392,0.98412,0.87967,0.82308,0.89774,0.85503,0.32654,0.50439,0.82437,0.0002872,0.0002872,0.0002872
20,1994.32,0.23668,0.33779,0.98173,0.87179,0.83811,0.90826,0.87363,0.30171,0.50462,0.78239,0.0002476,0.0002476,0.0002476
21,2092.38,0.22612,0.30112,0.96749,0.8437,0.88832,0.91952,0.88234,0.30581,0.52342,0.78869,0.000208,0.000208,0.000208
22,2187.11,0.21309,0.27398,0.95289,0.86213,0.88437,0.93128,0.89295,0.28848,0.45862,0.77413,0.0001684,0.0001684,0.0001684
23,2274.33,0.20155,0.24139,0.95273,0.86499,0.88905,0.92922,0.89469,0.28353,0.45338,0.76911,0.0001288,0.0001288,0.0001288
24,2364.59,0.19408,0.22819,0.94174,0.89685,0.87754,0.92806,0.89605,0.27523,0.42483,0.76282,8.92e-05,8.92e-05,8.92e-05
25,2448.97,0.18814,0.214,0.94438,0.88067,0.89957,0.92247,0.89437,0.26435,0.41981,0.75293,4.96e-05,4.96e-05,4.96e-05
